idnum,year,time,average_pay,average_pay_ln,wcouncil,wcouncil_f,wagree,wagree_f,sector,profit,profit_f,emp,empt,empw,firmsize,firmsize_f
534,2015,17,2757.0063694267515,7.921900721295612,1,WC,0,NoSA,manufacturing,2,sufficient,157,0.452,0.516,3,less250
534,2021,23,3288.98224852071,8.098333448947587,0,NoWC,1,SA,manufacturing,4,good,169,0.45,0.533,3,less250
537,2007,9,1590.6764705882354,7.371914657934875,0,NoWC,0,NoSA,resthotels,3,satisfactory,34,0.441,0.353,1,less50
537,2009,11,1438.6764705882354,7.271478852275368,0,NoWC,0,NoSA,resthotels,2,sufficient,34,0.559,0.235,1,less50
537,2010,12,1686.1764705882354,7.430218801286267,0,NoWC,0,NoSA,resthotels,2,sufficient,34,0.618,0.235,1,less50
537,2012,14,3541.3823529411766,8.172272425085543,0,NoWC,0,NoSA,resthotels,3,satisfactory,34,0.676,0.382,1,less50
537,2013,15,3147.25,8.054284334646368,0,NoWC,0,NoSA,resthotels,3,satisfactory,36,0.556,0.361,1,less50
537,2014,16,2635.9189189189187,7.876987136013863,0,NoWC,0,NoSA,resthotels,3,satisfactory,37,0.73,0.351,1,less50
537,2021,23,1985.875,7.5938149020401875,0,NoWC,0,NoSA,finance,2,sufficient,48,0.792,0.562,1,less50
546,2013,15,2664.1565217391303,7.887642784340888,1,WC,0,NoSA,wholesretail,3,satisfactory,115,0.096,0,3,less250
546,2014,16,3040.974358974359,8.01993325586752,1,WC,0,NoSA,wholesretail,4,good,78,0.064,0,2,less100
546,2015,17,3764.6285714285714,8.233404482360447,1,WC,0,NoSA,wholesretail,3,satisfactory,70,0.1,0,2,less100
546,2016,18,3860.609375,8.258580319169834,1,WC,0,NoSA,wholesretail,1,unsatisfactory,64,0.109,0,2,less100
546,2017,19,2455.0573248407645,7.805905390196646,1,WC,0,NoSA,wholesretail,2,sufficient,157,0.038,0.019,3,less250
546,2018,20,2179.589285714286,7.6868917369849346,1,WC,0,NoSA,wholesretail,3,satisfactory,112,0.152,0.018,3,less250
546,2020,22,5271.033333333334,8.569981700745917,1,WC,0,NoSA,wholesretail,1,unsatisfactory,60,0.067,0,2,less100
555,2005,7,2394.7272727272725,7.781024629760621,1,WC,0,NoSA,health,1,unsatisfactory,22,0.091,0.591,1,less50
555,2006,8,2439.090909090909,7.799380670621299,1,WC,0,NoSA,health,2,sufficient,22,0.136,0.545,1,less50
555,2007,9,2248.217391304348,7.717892910654902,1,WC,0,NoSA,health,2,sufficient,23,0.087,0.565,1,less50
555,2008,10,1908.8695652173913,7.554266495156408,1,WC,0,NoSA,health,2,sufficient,23,0.087,0.522,1,less50
555,2009,11,2317.15,7.748093261223396,1,WC,0,NoSA,health,2,sufficient,20,0.15,0.55,1,less50
555,2010,12,2134.2083333333335,7.665851052838572,1,WC,0,NoSA,health,2,sufficient,24,0.125,0.458,1,less50
555,2011,13,2227,7.708410667257367,1,WC,0,NoSA,health,2,sufficient,23,0.174,0.565,1,less50
555,2012,14,1368.2682926829268,7.221301199335664,1,WC,0,NoSA,health,2,sufficient,41,0.146,0.561,1,less50
555,2013,15,1401.842105263158,7.245542440184659,1,WC,0,NoSA,health,3,satisfactory,38,0.079,0.737,1,less50
555,2014,16,1323.5365853658536,7.188062664175807,1,WC,0,NoSA,health,2,sufficient,41,0.146,0.537,1,less50
555,2015,17,1481.918918918919,7.301093093778327,1,WC,0,NoSA,health,2,sufficient,37,0.027,0.459,1,less50
555,2016,18,2353.7083333333335,7.7637473775664905,1,WC,0,NoSA,health,2,sufficient,24,0.167,0.542,1,less50
555,2017,19,2793.8636363636365,7.935180732743126,1,WC,0,NoSA,health,2,sufficient,22,0.182,0.682,1,less50
562,1998,0,518.5061383928571,6.250951866351398,0,NoWC,1,SA,wholesretail,2,sufficient,91,0.077,0.143,2,less100
562,2000,2,967.9278231534091,6.87515752163858,1,WC,0,NoSA,wholesretail,4,good,88,0.011,0.477,2,less100
562,2001,3,1758.314453125,7.472110932059268,1,WC,0,NoSA,wholesretail,4,good,56,0.018,0.179,2,less100
